             Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97
"6291.0.55.001 - Modelled estimates of labour force status by SA4, July 2016 to July 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30 am (Canberra time) 22 August 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2 - Unemployed persons ('000) by SA4, July 2016 to July 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA4,2024-07-01 00:00:00,2024-06-01 00:00:00,2024-05-01 00:00:00,2024-04-01 00:00:00,2024-03-01 00:00:00,2024-02-01 00:00:00,2024-01-01 00:00:00,2023-12-01 00:00:00,2023-11-01 00:00:00,2023-10-01 00:00:00,2023-09-01 00:00:00,2023-08-01 00:00:00,2023-07-01 00:00:00,2023-06-01 00:00:00,2023-05-01 00:00:00,2023-04-01 00:00:00,2023-03-01 00:00:00,2023-02-01 00:00:00,2023-01-01 00:00:00,2022-12-01 00:00:00,2022-11-01 00:00:00,2022-10-01 00:00:00,2022-09-01 00:00:00,2022-08-01 00:00:00,2022-07-01 00:00:00,2022-06-01 00:00:00,2022-05-01 00:00:00,2022-04-01 00:00:00,2022-03-01 00:00:00,2022-02-01 00:00:00,2022-01-01 00:00:00,2021-12-01 00:00:00,2021-11-01 00:00:00,2021-10-01 00:00:00,2021-09-01 00:00:00,2021-08-01 00:00:00,2021-07-01 00:00:00,2021-06-01 00:00:00,2021-05-01 00:00:00,2021-04-01 00:00:00,2021-03-01 00:00:00,2021-02-01 00:00:00,2021-01-01 00:00:00,2020-12-01 00:00:00,2020-11-01 00:00:00,2020-10-01 00:00:00,2020-09-01 00:00:00,2020-08-01 00:00:00,2020-07-01 00:00:00,2020-06-01 00:00:00,2020-05-01 00:00:00,2020-04-01 00:00:00,2020-03-01 00:00:00,2020-02-01 00:00:00,2020-01-01 00:00:00,2019-12-01 00:00:00,2019-11-01 00:00:00,2019-10-01 00:00:00,2019-09-01 00:00:00,2019-08-01 00:00:00,2019-07-01 00:00:00,2019-06-01 00:00:00,2019-05-01 00:00:00,2019-04-01 00:00:00,2019-03-01 00:00:00,2019-02-01 00:00:00,2019-01-01 00:00:00,2018-12-01 00:00:00,2018-11-01 00:00:00,2018-10-01 00:00:00,2018-09-01 00:00:00,2018-08-01 00:00:00,2018-07-01 00:00:00,2018-06-01 00:00:00,2018-05-01 00:00:00,2018-04-01 00:00:00,2018-03-01 00:00:00,2018-02-01 00:00:00,2018-01-01 00:00:00,2017-12-01 00:00:00,2017-11-01 00:00:00,2017-10-01 00:00:00,2017-09-01 00:00:00,2017-08-01 00:00:00,2017-07-01 00:00:00,2017-06-01 00:00:00,2017-05-01 00:00:00,2017-04-01 00:00:00,2017-03-01 00:00:00,2017-02-01 00:00:00,2017-01-01 00:00:00,2016-12-01 00:00:00,2016-11-01 00:00:00,2016-10-01 00:00:00,2016-09-01 00:00:00,2016-08-01 00:00:00,2016-07-01 00:00:00
102 Central Coast,8.06382449,7.46653699,7.20514023,7.31814701,8.29332337,6.69701102,8.214655,6.30131134,6.29521492,6.59334399,5.92051529,6.57445084,7.59199007,5.0107305,5.85057155,6.395823,6.66656304,6.34503167,6.55041022,5.91621525,6.30587537,5.57417494,6.43508911,6.65075912,6.65224332,6.65580338,6.58693711,6.6006092,7.91364049,7.07825541,8.15326262,6.40673826,8.81497763,9.27395809,6.89996101,8.67053411,7.87424835,10.11264399,9.69098762,9.81831193,11.04185787,11.09643533,11.32278117,10.861382,11.55471257,11.38602684,11.71186912,11.01492317,11.29847857,11.08500663,11.00177418,12.23723534,10.32891294,10.42616328,10.04805919,9.40865314,9.29484887,9.39749398,9.71074803,9.13901972,10.15781322,9.9246751,10.53985337,10.17375274,9.90407393,9.88003426,8.36139567,9.15422282,7.74066866,9.18392882,9.08263941,9.3758045,9.79889999,9.0161945,9.4892757,9.50279649,10.14694547,10.96587459,10.4687366,8.88369223,8.36228118,8.97778655,9.24712792,9.41521073,9.91504042,9.81593322,8.69810463,9.30932348,10.680269,11.00210798,11.24380319,9.532474,8.94474974,8.89940922,8.68228198,9.31264703,9.84396235
115 Sydney - Baulkham Hills and Hawkesbury,5.06741577,4.80680492,4.96464921,5.06097346,5.35246879,4.59060325,5.33543002,4.17456091,4.10240649,3.67510496,3.64010241,4.12656605,3.82089115,3.19798008,3.90802414,3.8820884,4.19474004,4.60591131,3.83325832,3.40719632,4.07129435,3.61638654,3.72446375,4.42526142,3.56795265,3.021461,4.89274152,4.66114518,4.97955151,4.40558157,5.36617472,4.90315676,4.79181474,5.93279495,5.65801418,5.67360449,5.26106949,6.05070518,7.50096221,7.80245754,7.64954645,8.32200424,9.06519852,8.51120052,7.63103358,8.52596142,9.12701765,9.14242927,9.53499638,8.56531016,7.8885697,6.96350114,6.2656225,4.81625466,5.34435481,4.50548148,4.68178801,4.91325947,4.32546835,4.21260527,4.58349058,4.95560383,4.52625351,4.43030743,4.77235923,4.69200585,4.31093326,4.50580534,4.32310796,4.39581453,3.94005377,4.62929447,4.75279231,4.54659643,4.84005506,4.5318674,5.31626141,4.95780122,5.15741183,4.52792018,4.20248643,4.45212855,4.34224335,4.40214999,4.75059016,4.5554936,4.32897903,4.81871622,5.14435084,5.60316196,5.5431979,5.30745866,4.69986651,4.73481126,4.55137975,4.7214607,4.71075329
116 Sydney - Blacktown,13.1712508,10.64253871,12.0138204,12.8118414,11.14420371,11.09808712,13.80305727,10.20176518,9.54573598,9.64291938,9.491359,10.01045766,10.9335466,8.45303963,7.65857668,9.96242951,10.31288374,9.67572392,9.80493861,8.80089249,8.71706548,7.22943096,7.85531391,9.64205849,9.5185457,8.78873395,10.96313462,9.02188983,11.95625858,11.00752876,11.32911688,9.4473216,10.56185012,13.33673326,11.21748462,11.68980417,12.21387916,13.68796688,12.96631718,14.93244155,16.4394784,17.04575956,17.27572667,16.46406863,14.40868354,15.82435562,16.28193913,16.72644154,16.74940756,15.89620385,14.79891094,15.22303626,13.58384037,13.3059351,13.58110914,12.06070539,10.70660698,12.57822395,11.32203485,11.34377283,12.20950001,10.57941579,11.57691646,12.86213892,11.71274565,12.36254488,11.08967695,9.82396939,10.20703039,10.57981799,10.83212244,11.75877,10.71782671,8.95555725,11.44854707,11.36659153,13.13798717,12.54191393,13.22867593,10.91956376,11.3762044,10.25107533,11.16714419,11.46811101,11.0103614,11.52897241,11.87748819,10.04992252,13.88900983,13.53773163,12.41318626,12.29097091,10.26411417,11.59971846,11.50337042,11.50490743,11.94022933
117 Sydney - City and Inner South,9.25185209,8.6860467,9.22128245,9.94337071,9.7022159,9.31243228,9.87795751,7.95066901,7.72417525,8.79787224,6.90979455,8.44192066,7.78338093,6.38730265,6.90387361,7.27640909,8.24470848,7.5488836,8.05683076,7.0328592,6.60062419,6.85993839,7.64917485,6.07319798,7.3288343,7.52694038,7.95939804,7.65595456,8.95764001,8.23878515,9.76367058,9.41620721,9.03496999,11.26252895,9.94730089,10.17036983,9.88756573,11.85071484,10.53809165,12.02456385,13.7452356,13.77443455,14.53708369,14.19989656,13.56744166,14.63924081,14.78825769,14.99071101,16.52452536,15.58774399,12.75731513,14.04456418,10.85550285,9.60602182,10.21211048,8.50544383,7.88311579,9.57523547,9.02117476,7.68677897,9.03048354,9.57703104,9.4840665,9.83227226,9.037977,8.71868471,8.811995,7.97404656,7.72319712,7.76567569,8.06494724,9.32422347,9.57626536,8.98378343,9.61149184,9.15492429,11.02508414,10.46731732,11.45784656,8.95335859,8.50020366,9.80245804,8.75011837,10.01071851,10.12514614,9.36221862,9.92711937,8.78130014,10.20488652,11.21783227,11.90153862,10.18606605,10.49393723,9.61450949,9.20858098,9.56470705,9.68914459
118 Sydney - Eastern Suburbs,3.92310016,4.29123019,3.84029461,4.51874761,4.63768189,4.22396451,4.88580252,4.02662788,3.81416814,3.6515007,3.79943441,3.90386844,2.95719271,3.20172203,3.53846437,3.14608346,4.02976204,4.24243007,3.74678858,3.27755209,3.02183821,3.16325568,3.37930086,3.88584278,3.58842619,3.63532681,4.17243561,3.51731179,4.48089376,4.44800538,4.87016033,4.49987993,4.09873914,5.5073846,5.13684961,5.27135253,4.73837455,5.48804683,5.90646082,6.1059522,6.99448336,7.68625347,7.87400254,7.50768863,6.80485378,7.66661423,8.58272547,7.98584162,8.65951109,8.55625374,7.66035346,7.25976423,5.35935423,4.518479,4.52263815,4.30162846,4.16879557,4.50692196,4.28861898,4.59415525,4.21232262,3.85136416,4.59624702,5.04567569,5.10092391,4.61461463,4.32248019,3.7561989,4.19300763,4.18410968,3.88396995,4.4898223,5.03980986,4.41824284,4.3817321,4.41085069,4.97856733,5.18869205,4.94860839,4.7457547,4.48328868,4.29647099,4.22514783,4.6223377,4.64830432,4.47282882,4.93772667,4.18522771,5.30558347,5.69882804,5.74386927,4.9893349,4.20415291,4.51059792,5.21709519,5.59046755,4.53853207
119 Sydney - Inner South West,14.04816643,16.62621545,15.22965669,14.48237757,16.71021057,14.16122134,17.48149411,12.47900413,12.68782878,13.08545026,15.4371213,13.13355761,10.18504596,9.39335663,11.85576531,13.54586451,10.77223306,12.50656725,11.99649186,12.01656288,11.45370849,11.27261329,12.35599322,14.8342727,11.94481369,12.22695094,15.92023986,11.73875292,14.72838296,14.62788134,17.49213458,14.07719685,18.13876832,20.72566353,15.86072441,15.66015831,19.31402567,19.11927986,19.8457671,20.95779588,20.65318528,24.16557413,24.76369313,24.83642788,22.33110385,24.21276576,24.52671357,22.07496397,25.68730607,23.86953975,20.5295483,23.85849247,18.71368846,17.18164065,14.26736208,15.57645035,14.6373554,15.99453655,16.39306893,14.28225054,15.57673571,15.92151414,16.03394948,15.70164291,18.23710917,16.4485174,14.12712076,13.85893449,13.60235351,15.14993818,14.64597349,15.58310075,17.48304249,15.20332859,16.1802318,17.07042092,17.84279381,17.3265223,18.56993725,17.15588014,16.54469954,12.74339918,16.01358184,16.25416048,18.00135989,17.08309501,15.08468475,14.36683634,16.63831403,19.79039268,17.82388003,17.3434567,14.71319148,15.88957185,17.10537105,16.55213017,17.99167636
